1.29,73449,1.53,2.99,4.39,13.04,54.23,55.6,56.75,59.88,61.19,63.51
1.27,63615,1.29,2.82,4.28,5.68,14.33,55.52,56.89,58.04,61.17,62.48
1.12,86628,1.27,2.56,4.09,5.55,6.95,15.6,56.79,58.16,59.31,62.44
16.83,74204,12.94,24.11,25.47,43.23,45.92,47.45,51.15,52.22,53.94,120.51
1.76,53899,16.83,29.77,40.94,42.3,60.06,62.75,64.28,67.98,69.05,70.77
2.44,41761,1.76,18.59,31.53,42.7,44.06,61.82,64.51,66.04,69.74,70.81
9.07,64289,2.44,4.2,21.03,33.97,45.14,46.5,64.26,66.95,68.48,72.18
1.94,31289,9.07,11.51,13.27,30.1,43.04,54.21,55.57,73.33,76.02,77.55
2.39,22398,1.94,11.01,13.45,15.21,32.04,44.98,56.15,57.51,75.27,77.96
1,66933,1.07,3.46,5.4,14.47,16.91,18.67,35.5,48.44,59.61,60.97
1.13,68874,1,2.07,4.46,6.4,15.47,17.91,19.67,36.5,49.44,60.61
1.59,61977,1.13,2.13,3.2,5.59,7.53,16.6,19.04,20.8,37.63,50.57
2.02,64723,1.59,2.72,3.72,4.79,7.18,9.12,18.19,20.63,22.39,39.22
1.53,71513,7.4,8.85,10.18,12.68,14.17,16.19,17.78,18.91,19.91,20.98
9.27,88384,1.53,8.93,10.38,11.71,14.21,15.7,17.72,19.31,20.44,21.44
1.44,70806,9.27,10.8,18.2,19.65,20.98,23.48,24.97,26.99,28.58,29.71
4.12,90017,1.44,10.71,12.24,19.64,21.09,22.42,24.92,26.41,28.43,30.02
1.45,39323,4.12,5.56,14.83,16.36,23.76,25.21,26.54,29.04,30.53,32.55
1.09,54415,3.12,4.57,8.69,10.13,19.4,20.93,28.33,29.78,31.11,33.61
1.9,65599,1.09,4.21,5.66,9.78,11.22,20.49,22.02,29.42,30.87,32.2
6.12,88519,1.9,2.99,6.11,7.56,11.68,13.12,22.39,23.92,31.32,32.77
1.01,75210,6.12,8.02,9.11,12.23,13.68,17.8,19.24,28.51,30.04,37.44
1.06,68776,1.01,7.13,9.03,10.12,13.24,14.69,18.81,20.25,29.52,31.05
1.33,70645,1.41,41.85,42.91,43.92,50.04,51.94,53.03,56.15,57.6,61.72
7.57,49062,1.33,2.74,43.18,44.24,45.25,51.37,53.27,54.36,57.48,58.93
1.85,42155,1.37,8.94,10.27,11.68,52.12,53.18,54.19,60.31,62.21,63.3
1.01,51820,1.07,2.58,8.14,10.05,11.9,13.27,20.84,22.17,23.58,64.02
1.01,90653,1.01,2.08,3.59,9.15,11.06,12.91,14.28,21.85,23.18,24.59
8.74,81020,1.01,2.02,3.09,4.6,10.16,12.07,13.92,15.29,22.86,24.19
