2552595,2.77,40910,-8493
2552594,6.16,34336,21298
2552593,3.78,99389,76662
2552592,1.03,66983,-66777
2552591,3.03,80434,38471
2552590,1.84,65929,-42355
2552589,2.13,105012,-9585
2552588,1.85,74747,-68557
2552587,1.23,60594,-54113
2552586,5.44,88264,50124
2552585,1.33,88532,-67063
2552584,1.82,50178,-37358
2552583,2.04,36174,-28651
2552582,1.82,50857,-27231
2552581,3.19,73940,86627
2552580,2.79,54785,-26402
2552579,1.07,34002,-33918
2552578,1.02,29731,-29715
2552577,2,36826,-11764
2552576,5.7,90345,99029
2552575,2.31,59811,-39465
2552574,1.6,83342,-59332
2552573,1.48,68530,-65878
2552572,1.12,55745,-55562
2552571,1.04,44271,-44269
2552570,2.57,55378,-6959
2552569,2.35,46273,-10174
2552568,3.22,79054,69194
2552567,1.37,84767,-80198
2552566,1.54,64261,-56900
2552565,1.19,58003,-52785
2552564,1.04,29780,-29776
2552563,2.7,60482,28591
2552562,1.01,48033,-48030
2552561,4.24,47959,29476
2552560,1.53,26976,-24558
